season,full_name,driving_distance,driving_accuracy,greens_in_regulation,proximity,scrambling_rough,scrambling_sand,putting_conversion,putting_rating,sg_off_tee,sg_approach,sg_scrambling,sg_putting,sg_tee_to_green,sg_total,scoring_avg
2004,trevor_immelman,282.3,63.89,60.34,"36' 5""",50.85,48.48,25.45,1.633,0.057,0.282,-0.031,-1.02,0.308,0.207,71.224
2005,ángel_cabrera,311.2,53.3,63.33,"37' 10""",54.29,47.5,29.03,1.665,0.531,0.067,0.141,-0.136,0.739,0.603,70.669
2006,paul_casey,305.3,62.66,67.17,"32' 1""",45,53.57,26.42,1.707,0.118,1.385,-0.249,-0.641,1.254,0.613,70.837
2007,andres_romero,312.5,56.25,58.89,"33' 10""",76.47,62.16,26.42,1.572,1.988,-0.457,0.342,0.416,1.873,2.289,68.653
2007,robert_karlsson,298.9,51.02,57.54,"36' 2""",51.55,44.44,27.36,1.631,-0.13,-0.219,-0.025,-0.374,-0.022,-0.396,71.396
2008,tiger_woods,294.3,57.86,71.39,"34' 6""",68.18,48.39,31.89,1.592,0.513,1.991,0.461,0.85,2.966,3.815,67.646
2009,lee_westwood,294.9,65.31,68.85,"33' 10""",68.42,34.09,29.97,1.657,0,0,0,-0.6,1.007,0.947,69.706
2010,charl_schwartzel,300.8,62.05,59.72,"36' 0""",55.88,63.64,29.65,1.615,-0.505,0.865,0.338,0.528,0.699,1.227,70.879
2010,tiger_woods,295.8,57.21,64.07,"34' 11""",44.19,47.143,32.63,1.615,-0.207,0.474,-0.092,-0.036,0.174,0.139,70.318
2011,lee_westwood,301.8,60.08,68.95,"32' 2""",56.82,53.23,30.88,1.627,0,0,0,-0.161,1.774,1.613,68.962
2011,louis_oosthuizen,295.1,63.02,66.42,"33' 8""",57.53,50,26.39,1.673,0.833,-0.067,0.075,-0.474,0.841,0.367,70.505
2011,peter_hanson,292.5,61.44,64.22,"35' 9""",55.74,47.06,27.99,1.639,0.131,0.664,-0.288,0.507,-0.669,-0.162,71.009
2011,tiger_woods,293.7,48.9,67.74,"34' 9""",64.58,38,32.18,1.618,-0.272,0.931,-0.077,0.214,0.582,0.796,70.457
2014,tiger_woods,294.9,55.1,57.67,"40' 10""",55.17,50,29.36,1.582,-0.189,-0.061,0.057,0.02,-1.93,-0.173,71.646
2015,danny_willett,287.3,65,55,"36' 7""",78.57,68.42,31.63,1.539,0.012,-1.311,0.757,1.931,-0.542,1.389,70.099
2015,matthew_fitzpatrick,287.9,66.06,63.94,"35' 7""",58.02,47.67,31.11,1.602,0.338,0.409,0.194,-0.054,0.941,0.887,70.525
2015,rory_mcilroy,304,67.69,71.03,"35' 2""",57.75,56.34,32.83,1.623,1.097,0.525,0.227,-0.064,1.85,1.786,69.32
2015,søren_kjeldsen,290,60.34,57.64,"33' 4""",60.87,40,30.12,1.583,-0.156,0.556,-0.059,0.318,0.341,0.659,70.932
2017,henrik_stenson,292.7,71.9,69.07,"36' 9""",57.38,52.17,31.68,1.634,0.13,0.816,-0.222,0.53,0.725,1.255,69.543
2017,tiger_woods,299.3,50,55.56,"44' 4""",66.67,25,25,1.639,-2.158,-2.155,0.39,1.538,-3.923,-2.385,73.29
2019,charl_schwartzel,291.3,50.67,61.28,"40' 11""",70.51,56.06,30.11,1.583,-1.526,-0.025,0.234,0.407,-1.317,-0.91,72.117
2019,fred_couples,282.5,58.93,63.19,"32' 6""",42.86,78.57,25.56,1.604,-0.191,0.296,0.186,-0.376,0.291,-0.086,72.333
2019,lee_westwood,300.6,64.29,65.56,"40' 4""",66.67,58.82,24.58,1.644,0.589,-0.457,-0.21,-0.066,-0.078,-0.143,69.818
2019,matt_wallace,300.6,55.71,59.72,"38' 7""",57.22,50.79,32.01,1.575,0.233,-0.044,0.451,0.524,0.641,1.166,70.412
2019,matthew_wolff,309.1,59.85,67.62,"35' 5""",56.6,35.29,35.61,1.603,0.099,0.239,0.192,0.093,0.531,0.624,70.066
2019,mike_weir,280.5,56.12,59.79,"37' 0""",60.42,61.84,28,1.593,-0.994,-0.346,0.029,0.261,-1.311,-1.05,72.096
2019,shane_lowry,297.9,58.12,63.14,"36' 3""",63.16,61.33,31.83,1.576,-0.11,-0.295,0.428,0.461,0.024,0.485,70.232
2019,tiger_woods,296.8,65.83,69.97,"33' 11""",62.71,46.43,33.26,1.628,0.2,0.646,0.19,0.096,1.036,1.132,70.332
2019,vijay_singh,280.7,57.65,58.33,"40' 2""",44.44,36.67,24.49,1.635,-0.49,0.054,0.577,-0.925,0.142,-0.784,72.468